id	title	author	author_norm	GND	date	series	genre	publisher	license	tokenCount				
k00300000168	Die Gesandten von Aurigel	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33174				
k00300000169	Die drei Deserteure	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	35229				
k00300000170	Das Grauen	Voltz William	William, Voltz	106915185	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	34683				
k00300000171	Das rote Universum	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	30832				
k00300000172	Unter den Sternen von Druufon	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31621				
k00300000173	In den Fesseln der Ewigkeit	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32643				
k00300000174	Thoras Opfergang	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31494				
k00300000175	Die Atomhölle von Gray Beast	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33779				
k00300000176	In den Höhlen der Druuf	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	35609				
k00300000177	Raumschiff der Ahnen	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	35136				
k00300000178	Schach dem Universum	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	35480				
k00300000179	Hallo Topsid, bitte melden!	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32915				
k00300000180	Rekruten für Arkon	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	34453				
k00300000181	Kampfschule Naator	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33827				
k00300000182	Der Schlüssel zur Macht	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33948				
k00300000183	Die Schläfer der ISC	Voltz William	William, Voltz	106915185	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33357				
k00300000184	Der Fall Kolumbus	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	30680				
k00300000185	Guckys große Stunde	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31699				
k00300000186	Atlan in Not	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	34461				
k00300000187	Ernst Ellerts Rückkehr	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33398				
k00300000188	Geheimmission Moluk	Voltz William	William, Voltz	106915185	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	35720				
k00300000189	Der Feind im Dunkel	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	38250				
k00300000190	Die flammende Sonne	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32405				
k00300000191	Himmel ohne Sterne	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33799				
k00300000192	Der Anti	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32786				
k00300000193	Preis der Macht	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32285				
k00300000194	Entfesselte Gewalten	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	30057				
k00300000195	Ein Freund der Menschen	Voltz William	William, Voltz	106915185	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	34454				
k00300000196	Der Zielstern	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1963	Perry Rhodan	scifi	Pabel-Moewig	restricted	31862				
k00300000197	Der Weltraum-Tramp	Darlton Clark	Clark, Darlton	119077752	1963	Perry Rhodan	scifi	Pabel-Moewig	restricted	34297				
k00300000198	Abteilung III greift ein	Mahr Kurt	Kurt, Mahr	123137179	1963	Perry Rhodan	scifi	Pabel-Moewig	restricted	33975				
